Transaction_ID,Customer_Name,Customer_Email,Product_ID,Transaction_Amount,Country,Regulatory_Issues
60826b89-0c9d-4b0f-a76b-da64f7fabb48,Kenneth,kevinherrera@example.org,1056,327.67,EU,HIPAA
60f0328f-dc31-4646-bd65-653195b94c4a,Vanessa,john13@example.org,1087,320.04,Australia,CCPA
86d36cbd-f7de-4dda-8ffe-3dabf90db92c,Tim,milleranthony@example.net,1001,425.11,EU,CCPA
620e6954-b5c7-4797-9629-41862e2dc77b,Jessica,shirley07@example.org,1056,488.04,US,GDPR
887347c8-604e-4000-9be4-801f7b85be68,Mark,corey30@example.org,1028,223.96,EU,PIPEDA
bce63a04-7160-4592-b83a-c88651b0eda2,Phillip,apham@example.org,1045,205.04,US,GDPR
9e81245e-45d5-407e-8221-98f22dbd7143,Kim,jacob47@example.com,1061,367.27,EU,HIPAA
e03f7609-6b47-4c61-97d4-1521d7c0ed96,Jason,russojoshua@example.org,1092,473.86,Australia,CCPA
9fb6e9c9-db76-4e89-80ca-40c925d1d86a,David,debramorales@example.net,1088,419.58,US,PIPEDA
12c5193d-f94e-40a1-98cb-4c5cda4091b8,Megan,karen46@example.com,1037,15.7,Australia,HIPAA
891d5e52-c8f9-4275-a93c-f88df60e6c47,Rebecca,rebeccacontreras@example.com,1055,335.3,EU,CCPA
536e8fe6-4ad8-457d-835b-27da35416830,Craig,laurawaters@example.net,1087,304.12,Australia,PIPEDA
f4d44d67-4949-4420-9c96-7946137a6859,Amy,onovak@example.org,1071,76.48,EU,CCPA
8e542cb3-07f9-48f9-883a-61bf42aae40f,Pamela,vrice@example.org,1001,365.34,EU,HIPAA
2a082f2d-bcbc-455a-97e1-cae69232341e,Veronica,mariahsmith@example.com,1077,451.18,EU,PIPEDA
2ce69e03-f4cc-4b54-8d56-4371017d4e79,Jacob,whitebrandy@example.com,1044,313.62,US,HIPAA
2a782b4c-d92e-4389-be69-19821cc49c64,Roger,ana05@example.org,1022,456.89,US,CCPA
bb16f707-35b1-4743-a28f-2814d41e84ed,Jennifer,edwardgonzalez@example.com,1065,64.55,Canada,CCPA
b44f80f3-3f4d-4bb7-bf79-ac06f4761266,Joel,lewisrobert@example.org,1077,294.14,US,HIPAA
364d8992-c167-476f-8df2-0cdeab3e6bee,Michelle,warrenbutler@example.org,1100,277.55,Australia,PIPEDA
c1873207-19fd-4fbf-981d-26bf6abe8100,Gregory,ssimpson@example.com,1010,154.08,Canada,GDPR
59723e3e-10c4-4417-85fe-ace9a78c84e8,Meghan,morenoryan@example.com,1075,415.17,Canada,HIPAA
7473e10b-81e7-4359-86f6-af6ea99bdea4,Nicholas,brandon86@example.com,1032,365.67,Australia,HIPAA
d34af16d-faa7-4578-820b-a83b12e0e282,Jennifer,nlawrence@example.net,1045,350.88,US,GDPR
490575d6-76aa-49ff-a074-9560de223536,Christopher,rweiss@example.com,1028,334.34,Canada,CCPA
9fbec2ff-0852-403a-b804-d8381de5debc,Dillon,lance12@example.org,1058,76.05,Australia,PIPEDA
e4900a88-a804-40c8-95bb-1375294025d6,Maurice,daniellerogers@example.net,1007,58.45,EU,PIPEDA
dee22a43-725d-456c-baf1-b4fb1a3a0bb9,Zachary,hocraig@example.org,1037,68.39,EU,HIPAA
a28c58bd-26e0-4fda-8bcf-7474d7a0748b,Michelle,ericwilliams@example.org,1017,309.17,Australia,GDPR
d58b8b8e-1dda-4109-a32e-34bdb2b8117c,Ronald,joshua70@example.net,1037,393.33,Australia,GDPR
cac8ad87-8142-4c3e-92db-b9fe082aa6ca,Diane,johnsonkatelyn@example.com,1021,145.09,Australia,CCPA
df65ce1e-5e3a-40bc-8704-0b5ed5e9af60,George,melissa55@example.net,1074,349.9,EU,PIPEDA
74754a0a-3322-4b6d-bc59-8299edeaeeaa,Brandon,bishopbrandon@example.org,1041,246.29,Australia,CCPA
